phase distance depth traveltime ray-parameter geometrical_spreading T*(attenuation

 P  25.0   0.0   325.02   9.141    0.0001473  1.15
 P  25.0  10.0   325.02   9.141    0.0001473  1.15
 P  25.0  20.0   325.02   9.141    0.0001473  1.15
 P  25.0  30.0   321.99   9.141    0.0001792  1.14
 P  25.0  40.0   320.05   9.141    0.0002507  1.14
 P  25.0  50.0   320.05   9.141    0.0002507  1.14
 P  25.0  60.0   320.05   9.141    0.0002507  1.14
 P  25.0  70.0   320.05   9.141    0.0002507  1.14
 P  25.0  80.0   316.11   9.141    0.0002534  1.13
 P  25.0  90.0   316.11   9.141    0.0002534  1.13
 P  25.0 100.0   316.11   9.141    0.0002534  1.13
 P  25.0 110.0   316.11   9.141    0.0002534  1.13
 P  25.0 120.0   316.11   9.141    0.0002534  1.13
 P  25.0 130.0   312.20   9.141    0.0002389  1.12
 P  25.0 140.0   312.20   9.141    0.0002389  1.12
 P  25.0 150.0   312.20   9.141    0.0002389  1.12
 P  25.0 160.0   312.20   9.141    0.0002389  1.12
 P  25.0 170.0   308.14   8.952    0.0002415  1.03
 P  25.0 180.0   308.14   8.952    0.0002415  1.03
 P  25.0 190.0   308.14   8.952    0.0002415  1.03
 P  25.0 200.0   308.14   8.952    0.0002415  1.03
 P  25.0 210.0   308.14   8.952    0.0002415  1.03
 P  25.0 220.0   304.15   8.952    0.0002509  0.98
 P  25.0 230.0   304.15   8.952    0.0002509  0.98
 P  25.0 240.0   304.15   8.952    0.0002509  0.98
 P  25.0 250.0   304.15   8.952    0.0002509  0.98
 P  25.0 260.0   304.15   8.952    0.0002509  0.98
 P  25.0 270.0   299.90   8.952    0.0002647  0.94
 P  25.0 280.0   299.90   8.952    0.0002647  0.94
 P  25.0 290.0   299.90   8.952    0.0002647  0.94
 P  25.0 300.0   299.90   8.952    0.0002647  0.94
 P  25.0 310.0   299.90   8.952    0.0002647  0.94
 P  25.0 320.0   295.87   8.952    0.0002589  0.91
 P  25.0 330.0   295.87   8.952    0.0002589  0.91
 P  25.0 340.0   295.87   8.952    0.0002589  0.91
 P  25.0 350.0   295.87   8.952    0.0002589  0.91
 P  25.0 360.0   295.87   8.952    0.0002589  0.91
 P  25.0 370.0   292.05   8.952    0.0001279  0.88
 P  25.0 380.0   292.05   8.952    0.0001279  0.88
 P  25.0 390.0   292.05   8.952    0.0001279  0.88
 P  25.0 400.0   292.05   8.952    0.0001279  0.88
 P  25.0 410.0   292.05   8.952    0.0001279  0.88
 P  25.0 420.0   288.45   8.952    0.0001757  0.85
 P  25.0 430.0   288.45   8.952    0.0001757  0.85
 P  25.0 440.0   288.45   8.952    0.0001757  0.85
 P  25.0 450.0   288.45   8.952    0.0001757  0.85
 P  25.0 460.0   288.45   8.952    0.0001757  0.85
 P  25.0 470.0   285.39   8.952    0.0001874  0.82
 P  25.0 480.0   285.39   8.952    0.0001874  0.82
 P  25.0 490.0   285.39   8.952    0.0001874  0.82
 P  25.0 500.0   285.39   8.952    0.0001874  0.82
 P  25.0 510.0   285.39   8.952    0.0001874  0.82
 P  25.0 520.0   282.55   8.952    0.0002009  0.79
 P  25.0 530.0   282.55   8.952    0.0002009  0.79
 P  25.0 540.0   282.55   8.952    0.0002009  0.79
 P  25.0 550.0   282.55   8.952    0.0002009  0.79
 P  25.0 560.0   282.55   8.952    0.0002009  0.79
 P  25.0 570.0   279.81   8.787     0.000206  0.75
 P  25.0 580.0   279.81   8.787     0.000206  0.75
 P  25.0 590.0   279.81   8.787     0.000206  0.75
 P  25.0 600.0   279.81   8.787     0.000206  0.75
 P  25.0 610.0   279.81   8.787     0.000206  0.75
 P  25.0 620.0   277.29   8.787    0.0002118  0.72
 P  25.0 630.0   277.29   8.787    0.0002118  0.72
 P  25.0 640.0   277.29   8.787    0.0002118  0.72
 P  25.0 650.0   277.29   8.787    0.0002118  0.72
 P  25.0 660.0   277.29   8.787    0.0002118  0.72
 P  25.0 670.0   275.02   8.787    0.0003099  0.69
 P  25.0 680.0   275.02   8.787    0.0003099  0.69
 P  25.0 690.0   275.02   8.787    0.0003099  0.69
 P  25.0 700.0   275.02   8.787    0.0003099  0.69
 P  25.0 710.0   275.02   8.787    0.0003099  0.69
 P  25.0 720.0   273.68   8.644    0.0003163  0.68
 P  25.0 730.0   273.68   8.644    0.0003163  0.68
 P  25.0 740.0   273.68   8.644    0.0003163  0.68
 P  25.0 750.0   273.68   8.644    0.0003163  0.68
 P  25.0 760.0   273.68   8.644    0.0003163  0.68
 P  25.0 770.0   272.49   8.644    0.0003701  0.68
 P  25.0 780.0   272.49   8.644    0.0003701  0.68
 P  25.0 790.0   272.49   8.644    0.0003701  0.68
 P  25.0 800.0   272.49   8.644    0.0003701  0.68
 P  26.0   0.0   334.16   9.141    0.0001404  1.16
 P  26.0  10.0   334.16   9.141    0.0001404  1.16
 P  26.0  20.0   334.16   9.141    0.0001404  1.16
 P  26.0  30.0   331.13   9.141    0.0001642  1.15
 P  26.0  40.0   329.19   9.141    0.0002297  1.15
 P  26.0  50.0   329.19   9.141    0.0002297  1.15
 P  26.0  60.0   329.19   9.141    0.0002297  1.15
 P  26.0  70.0   329.19   9.141    0.0002297  1.15
 P  26.0  80.0   325.19   8.952     0.000226  1.11
 P  26.0  90.0   325.19   8.952     0.000226  1.11
 P  26.0 100.0   325.19   8.952     0.000226  1.11
 P  26.0 110.0   325.19   8.952     0.000226  1.11
